# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Fri Jul 27 09:27:49 2018
#
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [AU])
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis Upper Unc. [AU]
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major Axis Lower Unc. [AU]
# COLUMN pl_orbsmaxlim:  Orbit Semi-Major Axis Limit Flag
# COLUMN pl_bmassj:      Planet Mass or M*sin(i)[Jupiter mass]
# COLUMN pl_bmassjerr1:  Planet Mass or M*sin(i)Upper Unc. [Jupiter mass]
# COLUMN pl_bmassjerr2:  Planet Mass or M*sin(i)Lower Unc. [Jupiter mass]
# COLUMN pl_bmassjlim:   Planet Mass or M*sin(i)Limit Flag
# COLUMN st_teff:        Effective Temperature [K]
# COLUMN st_tefferr1:    Effective Temperature Upper Unc. [K]
# COLUMN st_tefferr2:    Effective Temperature Lower Unc. [K]
# COLUMN st_tefflim:     Effective Temperature Limit Flag
# COLUMN st_rad:         Stellar Radius [Solar radii]
# COLUMN st_raderr1:     Stellar Radius Upper Unc. [Solar radii]
# COLUMN st_raderr2:     Stellar Radius Lower Unc. [Solar radii]
# COLUMN st_radlim:      Stellar Radius Limit Flag
#
loc_rowid,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim
1,1.290000,0.050000,-0.050000,0,19.40000,1.50000,-1.50000,0,4742.00,100.00,-100.00,0,19.00,2.00,-2.00,0
2,1.530000,0.070000,-0.070000,0,14.74000,2.50000,-2.50000,0,4213.00,46.00,-46.00,0,29.79,2.84,-2.84,0
3,0.830000,,,0,4.80000,,,0,4813.00,20.00,-20.00,0,11.00,1.00,-1.00,0
4,2.930000,0.080000,-0.080000,0,4.66000,0.15000,-0.15000,0,5338.00,25.00,-25.00,0,0.93,0.01,-0.01,0
5,1.660000,0.030000,-0.030000,0,1.78000,0.08000,-0.08000,0,5750.00,8.00,-8.00,0,1.13,0.01,-0.01,0
6,2.600000,,,0,10.30000,,,0,4979.00,18.00,-18.00,0,8.50,,,0
7,330.000000,,,0,8.00000,1.00000,-1.00000,0,4060.00,300.00,-200.00,0,,,,
8,0.190000,0.012000,-0.009000,0,0.91000,0.13000,-0.10000,0,4893.00,15.00,-15.00,0,10.64,0.84,-0.59,0
9,1.333000,0.004000,-0.009000,0,1.99000,0.26000,-0.38000,0,5098.00,44.00,-44.00,0,4.90,0.08,-0.08,0
10,2.080000,0.050000,-0.020000,0,0.86000,0.35000,-0.22000,0,5098.00,44.00,-44.00,0,4.90,0.08,-0.08,0
11,52.000000,6.000000,-6.000000,0,24.50000,2.50000,-2.50000,0,3530.00,50.00,-50.00,0,,,,
12,156.000000,10.000000,-10.000000,0,13.90000,1.10000,-1.10000,0,3064.00,76.00,-76.00,0,0.28,0.01,-0.01,0
13,15.000000,,,0,7.50000,2.50000,-2.50000,0,,,,,,,,
14,46.000000,5.000000,-5.000000,0,4.00000,1.00000,-1.00000,0,,,,,,,,
15,0.920000,0.020000,-0.020000,0,1.90000,0.10000,-0.10000,0,,,,,,,,
16,,,,,20.95000,83.79000,-20.95000,0,2300.00,80.00,-80.00,0,0.12,0.05,-0.04,0
17,230.000000,20.000000,-20.000000,0,12.50000,1.50000,-1.50000,0,4045.00,35.00,-35.00,0,,,,
18,0.990000,0.020000,-0.020000,0,13.82000,1.80000,-1.80000,0,6331.00,61.00,-61.00,0,1.41,0.05,-0.05,0
19,0.870000,0.040000,-0.040000,0,7.10000,1.60000,-1.60000,0,4415.00,70.00,-70.00,0,18.11,1.47,-1.47,0
20,1.190000,0.010000,-0.010000,0,3.88000,0.85000,-0.85000,0,4200.00,70.00,-70.00,0,22.03,1.00,-1.00,0
21,2.100000,0.020000,-0.020000,0,2.53000,0.07000,-0.06000,0,5892.00,70.00,-70.00,0,1.23,,,0
22,3.600000,0.100000,-0.100000,0,0.54000,0.06600,-0.07300,0,5892.00,70.00,-70.00,0,1.23,,,0
23,11.600000,2.100000,-2.900000,0,1.64000,0.29000,-0.48000,0,5892.00,70.00,-70.00,0,1.23,,,0
24,13.200000,0.200000,-0.200000,0,2.00000,,,0,,,,,,,,
25,0.052700,0.003000,-0.003000,0,0.47200,0.03900,-0.03900,0,5793.00,70.00,-70.00,0,1.20,,,0
26,0.115227,0.000001,-0.000001,0,0.83060,0.00330,-0.00330,0,5196.00,24.00,-24.00,0,0.94,0.01,-0.01,0
27,0.241376,0.000026,-0.000026,0,0.17140,0.00550,-0.00550,0,5196.00,24.00,-24.00,0,0.94,0.01,-0.01,0
28,5.503000,0.030000,-0.030000,0,3.87800,0.06800,-0.06800,0,5196.00,24.00,-24.00,0,0.94,0.01,-0.01,0
29,0.015440,0.000090,-0.000090,0,0.02542,0.00098,-0.00098,0,5196.00,24.00,-24.00,0,0.94,0.01,-0.01,0
30,0.788000,0.001000,-0.001000,0,0.14100,0.01200,-0.01200,0,5196.00,24.00,-24.00,0,0.94,0.01,-0.01,0
31,2.180000,0.050000,-0.060000,0,2.21000,0.11000,-0.16000,0,4978.00,18.00,-18.00,0,5.20,0.40,-0.30,0
32,0.050201,0.000005,-0.000005,0,0.01600,0.00200,-0.00200,0,5577.00,33.00,-33.00,0,0.96,0.01,-0.01,0
33,0.217500,0.000100,-0.000100,0,0.05700,0.00300,-0.00300,0,5577.00,33.00,-33.00,0,0.96,0.01,-0.01,0
34,0.476000,0.001000,-0.001000,0,0.07200,0.00800,-0.00800,0,5577.00,33.00,-33.00,0,0.96,0.01,-0.01,0
